,ACA FP Equity,AI FP Equity,CS FP Equity,DG FP Equity,AIR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,STM FP Equity,SU FP Equity,HO FP Equity,KER FP Equity,CA FP Equity,CAP FP Equity,DSY FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,TEP FP Equity,TTE FP Equity,URW NA Equity,VIE FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,ERF FP Equity,GLE FP Equity,SGO FP Equity,STLAP FP Equity,VIV FP Equity,WLN FP Equity,OR FP Equity,ORA FP Equity
2015-03-10,12.72,86.022,22.395,53.86,58.88,26.946,60.85,51.04,72.52,105.25,290.05,8.632,70.18,52.19,171.32,30.565,72.66,12.184,104.7,35.76,18.44,86.65,66.08,85.9118,65.0,45.18,248.0,16.3716,48.725,166.25,21.1375,22.7189,25.15,40.95,39.82,,6.2798,17.2,164.8,15.315
2015-03-11,13.09,88.6199,22.82,54.69,61.43,27.507,61.97,52.01,73.99,107.8,297.7,8.923,72.35,53.58,176.75,30.715,74.61,12.43,106.65,37.38,18.54,90.15,67.75,88.7862,66.55,45.465,252.75,16.4729,50.07,171.5,21.735,22.8538,25.68,42.15,40.7,,6.3961,17.33,169.7,15.7
2015-03-12,13.06,88.3272,23.11,54.29,62.08,27.813,61.63,51.6,74.52,106.55,299.95,8.625,71.83,53.42,177.59,30.855,74.85,12.476,106.75,36.47,18.23,89.56,66.8,89.0149,66.4,45.44,251.05,16.6802,49.56,170.6,21.7625,22.7165,25.55,42.18,40.225,,6.3234,17.36,169.05,15.495
2015-03-13,13.1,88.2906,23.405,54.27,63.56,27.8223,62.19,51.68,76.26,107.3,300.55,8.787,73.51,53.73,176.47,31.135,75.65,12.5,107.5,37.215,18.23,89.03,66.57,89.3431,67.44,44.645,254.95,16.6802,50.06,171.25,22.6375,22.242,25.74,42.29,40.57,,6.3975,17.4,171.75,15.41
2015-03-16,13.285,89.5712,23.76,54.91,63.86,27.8826,62.66,52.44,76.47,108.7,313.75,9.162,74.46,53.68,181.12,31.07,76.42,12.69,108.85,37.305,18.485,90.0,68.05,91.571,67.82,44.57,256.0,16.7718,50.54,174.7,22.9975,22.3536,25.675,42.79,41.15,,6.3975,17.475,173.3,15.37
2015-03-17,13.23,89.4981,23.475,54.82,60.98,27.1547,62.24,52.28,75.03,108.8,313.2,9.222,73.69,52.88,182.38,31.11,75.62,12.594,107.2,36.845,18.69,86.87,66.6,91.7401,66.65,45.21,252.5,16.6994,50.29,172.7,22.9,22.1094,25.305,42.445,41.0,,6.351,17.46,172.5,15.02
2015-03-18,13.075,89.5346,23.325,54.53,61.19,27.0156,62.88,52.25,74.81,109.2,312.3,9.142,73.61,52.62,183.12,31.18,75.44,12.646,107.4,37.145,18.85,83.08,66.2,92.5556,64.93,46.0,255.2,16.7669,49.29,170.75,22.765,21.893,25.23,42.01,41.175,,6.4091,17.495,170.95,14.805
2015-03-19,13.23,88.9126,23.325,54.4,61.08,27.2984,62.63,52.96,74.75,109.15,311.85,9.026,72.95,52.75,180.56,31.42,76.37,12.668,107.05,36.765,18.83,83.6,66.18,92.476,65.41,46.475,255.5,16.8151,49.685,168.3,22.8475,21.5859,25.715,42.57,40.845,,6.4208,17.45,170.25,14.815
2015-03-20,13.415,89.1322,23.825,55.47,61.4,27.3262,62.75,53.98,74.68,109.15,312.4,9.198,74.18,53.26,179.68,31.885,76.02,12.712,108.35,36.9,19.0,83.88,65.54,93.1225,65.1,47.635,257.4,16.8826,50.45,169.25,22.8125,21.7581,25.07,43.155,41.56,,6.4411,17.5,172.1,14.89
2015-03-23,13.515,88.4004,23.425,54.95,60.0,27.2381,62.66,54.54,74.22,108.55,307.0,9.008,73.5,52.51,176.38,31.885,76.25,12.706,107.6,37.055,18.895,81.91,65.14,92.9932,65.54,46.95,257.2,16.9405,49.71,164.5,22.3875,21.5604,25.215,43.735,40.555,,6.6563,17.5,171.15,14.78
